Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
P1,FPC_4P_Pull_type_1_0MM_Under_the_next,FPC-SMD_AFA07-S04FCC-00,-9.176000,39.867000,-90.000000,top
U2,AFC07-S10ECA-00,FPC-SMD_P0.50-10P_LCS-SJ-H2.0,-23.676000,50.117000,90.000000,top
U3,AFC07-S14ECA-00,FPC-SMD_P0.50-14P_LCS-SJ-H2.0,4.324000,58.617000,0.000000,top
U4,AFC07-S10ECA-00,FPC-SMD_P0.50-10P_LCS-SJ-H2.0,-23.676000,30.617000,90.000000,top
U5,TS-1102SD-A-F-R,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.2,51.324000,72.117000,180.000000,top
