Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
P1,FPC_4P_Pull_type_1_0MM_Under_the_next,FPC-SMD_AFA07-S04FCC-00,129.000000,-70.750000,-90.000000,top
U2,AFC07-S10ECA-00,FPC-SMD_P0.50-10P_LCS-SJ-H2.0,114.500000,-60.500000,90.000000,top
U3,AFC07-S14ECA-00,FPC-SMD_P0.50-14P_LCS-SJ-H2.0,142.500000,-52.000000,0.000000,top
U4,AFC07-S10ECA-00,FPC-SMD_P0.50-10P_LCS-SJ-H2.0,114.500000,-80.000000,90.000000,top
U5,TS-1102SD-A-F-R,SW-SMD_4P-L6.0-W6.0-P4.50-LS9.2,189.500000,-38.500000,180.000000,top
